round,accuracy,loss,eval_acc,eval_loss,time_evaluate_record,total_duration,time_train_record,train_loss
0,0.0999,2.305,,,,,,
1,0.1,2.3883,0.1004,2.3901,2.09,2.09,42.578,19.505
2,0.1605,2.2048,0.162,2.2038,1.5412,1.5412,45.717,18.564
3,0.3129,1.8336,0.305,1.8408,1.5586,1.5586,64.534,15.77
4,0.411,1.6683,0.415,1.6472,1.5763,1.5763,63.222,13.45
5,0.452,1.6566,0.4551,1.6269,0.72031,0.72031,57.959,11.335
6,0.4743,1.6952,0.4742,1.6593,0.74237,0.74237,37.268,10.221
7,0.475,1.713,0.4863,1.6856,0.72936,0.72936,37.025,9.6322
8,0.4878,1.7727,0.4944,1.7439,0.71242,0.71242,37.148,8.3523
9,0.4973,1.8145,0.4997,1.7947,0.91108,0.91108,43.405,8.6166
10,0.4987,1.856,0.5088,1.8322,0.78542,0.78542,62.185,8.3255
