round,accuracy,loss,eval_acc,eval_loss,time_evaluate_record,total_duration,time_train_record,train_loss
0,0.1015,2.3044,,,,,,
1,0.2491,2.1941,0.24318,2.1987,1.1504,1.1504,33.035,12.85
2,0.3517,1.8252,0.34759,1.8286,1.177,1.177,25.145,8.2572
3,0.4638,1.5442,0.46658,1.5402,1.1611,1.1611,26.375,6.9792
4,0.4888,1.6514,0.49286,1.6361,1.1931,1.1931,27.589,4.021
5,0.5132,1.8312,0.50884,1.845,1.2024,1.2024,28.676,2.8533
6,0.4817,2.5039,0.47307,2.5203,1.3671,1.3671,29.615,2.1217
7,0.5414,1.9731,0.53192,1.9974,1.2466,1.2466,27.118,1.6722
8,0.5553,1.8234,0.5511,1.8492,1.3616,1.3616,26.281,1.4514
9,0.5162,2.3277,0.50674,2.3405,1.2964,1.2964,28.395,1.4736
10,0.5807,1.6966,0.57548,1.7226,1.1648,1.1648,27.734,1.3169
