round,accuracy,loss,eval_acc,eval_loss,time_evaluate_record,total_duration,time_train_record,train_loss
0,0.0981,2.3047,,,,,,
1,0.1,2.3325,0.1006,2.3326,6.0782,6.0782,37.511,13.25
2,0.0976,2.4874,0.1004,2.4866,4.5045,4.5045,77.854,14.38
3,0.1742,2.1695,0.1744,2.1755,3.9977,3.9977,76.649,12.021
4,0.174,2.2188,0.1749,2.208,4.0251,4.0251,69.248,11.838
5,0.1772,2.9865,0.176,2.987,3.9965,3.9965,74.827,11.075
6,0.172,2.7248,0.1734,2.7266,3.8889,3.8889,56.719,12.773
7,0.1478,2.7241,0.1496,2.7314,3.9535,3.9535,62.85,12.227
8,0.1531,2.9139,0.1526,2.9225,3.8495,3.8495,65.436,11.67
9,0.1483,2.645,0.1431,2.662,4.0493,4.0493,61.848,11.899
10,0.1422,2.5771,0.1385,2.584,2.173,2.173,72.714,14.128
