round,accuracy,loss,eval_acc,eval_loss,time_evaluate_record,total_duration,time_train_record,train_loss
0,0.0974,2.3044,,,,,,
1,0.4874,1.4327,0.482,1.4425,4.2483,4.2483,52.606,17.487
2,0.585,1.2448,0.5852,1.2629,1.0492,1.0492,49.521,10.817
3,0.625,1.6252,0.6187,1.6581,0.96669,0.96669,49.904,4.9149
4,0.6408,1.7479,0.64,1.7774,1.0346,1.0346,53.24,2.8822
5,0.6504,1.7254,0.6486,1.763,0.9633,0.9633,54.056,2.0948
6,0.6509,1.663,0.6524,1.7098,1.0129,1.0129,52.513,1.8879
7,0.6543,1.6995,0.657,1.7395,1.009,1.009,54.442,1.3774
8,0.6575,1.7828,0.6567,1.8294,0.99298,0.99298,53.587,1.0119
9,0.6554,1.7301,0.6623,1.765,1.0003,1.0003,53.724,1.1831
10,0.6619,1.6466,0.6633,1.6868,1.0241,1.0241,53.291,1.3004
