round,accuracy,loss,eval_acc,eval_loss,time_evaluate_record,total_duration,time_train_record,train_loss
0,0.1,2.3044,,,,,,
1,0.1009,2.2979,0.0942,2.2984,0.4359,0.4359,23.907,22.992
2,0.1545,2.2837,0.148,2.2842,0.3756,0.3756,24.068,22.901
3,0.2307,2.2037,0.2253,2.2054,0.4208,0.4208,18.504,22.534
4,0.2761,2.0169,0.2705,2.0234,0.431,0.431,24.783,21.048
5,0.313,1.909,0.309,1.9198,0.4322,0.4322,24.329,19.471
6,0.337,1.8323,0.3292,1.8446,0.4324,0.4324,24.545,18.614
7,0.3693,1.7477,0.3705,1.7616,0.2211,0.2211,22.138,17.801
8,0.3862,1.6711,0.3916,1.6853,0.4407,0.4407,20.692,16.822
9,0.4056,1.6144,0.4162,1.6248,0.2464,0.2464,16.243,16.072
10,0.4256,1.5629,0.4346,1.5722,0.247,0.247,13.928,15.346
