round,accuracy,loss,eval_acc,eval_loss,time_evaluate_record,total_duration,time_train_record,train_loss
0,0.1001,2.303,,,,,,
1,0.4934,1.412,0.4841,1.4263,2.6982,2.6982,41.223,17.463
2,0.578,1.261,0.5802,1.2645,0.86391,0.86391,36.3,10.638
3,0.6133,1.6421,0.6154,1.6804,0.8331,0.8331,46.29,4.9172
4,0.6332,1.8676,0.6312,1.9173,0.82562,0.82562,44.55,2.4823
5,0.6386,1.8643,0.6376,1.9096,0.89318,0.89318,68.583,1.864
6,0.6442,1.889,0.6385,1.9189,0.77928,0.77928,37.136,1.5371
7,0.6474,1.7674,0.6478,1.8003,0.82226,0.82226,34.326,1.7023
8,0.6528,1.7365,0.6508,1.7822,0.77998,0.77998,34.344,1.4878
9,0.6605,1.7246,0.6584,1.7572,0.80045,0.80045,34.102,1.2672
10,0.662,1.7887,0.6588,1.8473,0.85164,0.85164,44.396,0.98817
11,0.6599,1.8329,0.6584,1.8619,0.77619,0.77619,35.537,0.80449
12,0.6608,1.8143,0.6587,1.8654,1.0193,1.0193,35.157,0.79266
13,0.6625,1.8559,0.6595,1.8776,0.83686,0.83686,35.919,0.75641
14,0.6627,1.787,0.6611,1.8127,0.81005,0.81005,34.787,0.92969
15,0.6562,1.9445,0.664,1.9711,0.87999,0.87999,34.664,0.47704
16,0.6602,1.9288,0.6608,1.9517,0.79817,0.79817,34.538,0.49036
17,0.6653,1.9436,0.658,1.9719,0.78743,0.78743,34.427,0.51879
18,0.6657,2.0203,0.66,2.0435,0.79931,0.79931,35.942,0.4036
19,0.6662,1.9089,0.6614,1.9636,0.79469,0.79469,34.57,0.56209
20,0.6656,1.9566,0.6607,1.9931,0.80787,0.80787,33.574,0.37797
