round,accuracy,loss,eval_acc,eval_loss,time_evaluate_record,total_duration,time_train_record,train_loss
0,0.0928,2.3043,,,,,,
1,0.2175,2.2196,0.2157,2.2226,0.41929,0.41929,62.589,45.668
2,0.3138,1.8858,0.3111,1.902,0.77986,0.77986,99.269,40.336
3,0.4056,1.6317,0.3944,1.6501,0.51976,0.51976,111.21,34.576
4,0.4601,1.498,0.4509,1.5162,0.8224,0.8224,114.29,30.22
5,0.492,1.4191,0.4877,1.4411,0.47439,0.47439,97.07,26.685
6,0.5194,1.3643,0.5177,1.389,0.40488,0.40488,59.4,23.368
7,0.5481,1.3372,0.5404,1.3645,0.40349,0.40349,56.24,19.844
8,0.5568,1.4087,0.5589,1.43,0.40595,0.40595,56.452,15.214
9,0.5696,1.5306,0.5683,1.5489,0.53052,0.53052,57.844,10.74
10,0.5726,1.6282,0.5804,1.6433,0.98081,0.98081,112.83,7.9104
11,0.5761,1.686,0.5807,1.7078,0.80622,0.80622,104.92,6.169
12,0.5787,1.7237,0.5819,1.7488,0.40932,0.40932,77.871,5.1315
13,0.5847,1.7656,0.5835,1.7771,0.40754,0.40754,55.975,4.4233
14,0.5797,1.7755,0.5883,1.7763,0.42709,0.42709,56.922,3.9781
15,0.5869,1.7652,0.5935,1.7636,0.41524,0.41524,56.051,3.8893
16,0.5869,1.7955,0.595,1.7963,0.4135,0.4135,56.407,3.2935
17,0.5884,1.8325,0.5931,1.8361,0.4166,0.4166,56.374,2.9607
18,0.5886,1.835,0.5944,1.8298,0.40933,0.40933,56.557,2.8937
19,0.5906,1.8446,0.5989,1.8276,0.43721,0.43721,56.504,2.7016
20,0.5926,1.8601,0.599,1.8542,0.40928,0.40928,58.791,2.4903
,,,,,,,,
