round,accuracy,loss,eval_acc,eval_loss,time_evaluate_record,total_duration,time_train_record,train_loss
0,0.0963,2.3041,,,,,,
1,0.3955,1.674,0.3904,1.6845,0.83635,0.83635,63.675,20.4
2,0.5025,1.3946,0.4962,1.4049,0.82037,0.82037,53.413,14.165
3,0.5633,1.3651,0.56,1.3737,0.42421,0.42421,27.337,9.7855
4,0.5929,1.6555,0.5919,1.6753,0.90719,0.90719,47.495,5.1976
5,0.6085,1.6769,0.6105,1.692,0.88044,0.88044,55.098,3.6403
6,0.6132,1.654,0.612,1.6766,0.87532,0.87532,55.683,2.7404
7,0.6211,1.6104,0.6221,1.6401,0.81403,0.81403,61.722,2.4205
8,0.6256,1.6273,0.6222,1.661,0.78013,0.78013,59.192,1.9731
9,0.631,1.5899,0.6244,1.6074,0.41075,0.41075,44.689,1.9142
10,0.6335,1.6121,0.6282,1.6268,0.4158,0.4158,27.635,1.6556
11,0.6345,1.5952,0.6319,1.6143,0.41179,0.41179,27.595,1.591
12,0.6393,1.5638,0.6379,1.5737,0.40406,0.40406,28.133,1.5706
13,0.6431,1.5903,0.6381,1.6012,0.76296,0.76296,34.961,1.2652
14,0.6441,1.5844,0.6366,1.6011,0.77793,0.77793,51.446,1.2397
15,0.6464,1.5953,0.6373,1.6086,0.95965,0.95965,59.524,1.1421
16,0.6478,1.6218,0.639,1.6261,0.46004,0.46004,34.299,0.98823
17,0.6478,1.609,0.6416,1.6222,0.39639,0.39639,28.194,1.0313
18,0.6495,1.6136,0.6429,1.6281,0.48796,0.48796,49.629,0.93454
19,0.6484,1.6282,0.6455,1.6382,0.81588,0.81588,48.91,0.91644
20,0.6482,1.6285,0.6453,1.6354,0.84288,0.84288,57.094,0.90199
,,,,,,,,
