round,accuracy,loss,eval_acc,eval_loss,time_evaluate_record,total_duration,time_train_record,train_loss
0,0.1163,2.3033,,,,,,
1,0.1,2.3067,0.0942,2.3073,5.4899,5.4899,42.492,17.931
2,0.1801,2.2441,0.1739,2.2446,0.80789,0.80789,40.515,18.929
3,0.2661,2.0976,0.2633,2.0982,0.76293,0.76293,38.214,16.565
4,0.2939,1.977,0.2926,1.9823,0.76309,0.76309,37.906,15.144
5,0.3329,1.8533,0.3351,1.8589,0.79226,0.79226,41.217,13.45
6,0.3575,1.7591,0.3637,1.7705,1.5565,1.5565,65.873,12.784
7,0.3841,1.6863,0.3863,1.7011,1.627,1.627,64.884,11.801
8,0.412,1.6257,0.404,1.6418,1.6311,1.6311,63.059,11.602
9,0.4302,1.5956,0.4273,1.6104,1.5639,1.5639,65.846,11.118
10,0.4406,1.5562,0.4388,1.5731,0.7568,0.7568,43.941,10.77
